StartDate,EndDate,Name,Price,URL,Image,Location,Location,Region,Street,postalCode,Latitude,Longitude,Description
2022-09-10,2022-09-10,Godless Corner,0.00,https://www.eventbrite.com/e/godless-corner-tickets-211882515307,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F253173599%2F184713249715%2F1%2Foriginal.20220323-171107?w=512&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C0%2C2160%2C1080&s=8156eb8ef8edca4e1cff65ce36a056a7,Café safari,Nairobi,Nairobi,"Cafe Safari, KICC",00200,-1.2886589,36.8232611,"Meet and interact with agnostics, atheists, skeptics, humanists secularists, and free-thinkers in person."
2022-09-08,2022-09-08,Speed Dating Party for Single Professionals,0.00,https://www.eventbrite.com/e/speed-dating-party-for-single-professionals-tickets-370327979957,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F305598659%2F347079684105%2F1%2Foriginal.20220620-091419?w=512&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C295%2C1180%2C590&s=c40ec9a557567758801db142b22b52d4,Chester Hotel & Suites,Nairobi,Nairobi County,Koinange Street,,-1.2845333,36.8189314,"A party for busy, single professional who  want to meet new people in a relaxed environment, hold cool conversations and see where it leads."
2022-10-06,2022-10-06,MKTE 2022 Networking,0.00,https://www.eventbrite.co.uk/e/mkte-2022-networking-tickets-403368234247,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F336192019%2F202811835147%2F1%2Foriginal.20220816-102129?w=512&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C0%2C2160%2C1080&s=0e34e37aa6ecb6ba89792743fc018ffc,Matbronze Art Gallery & Foundry,Nairobi,Nairobi County,Kifaru Lane,,-1.3663124,36.74780939999999,Join ATTA for a networking evening at Matbronze in Nairobi in partnership with Profitroom and Dion Wines
2022-09-10,2022-09-10,Forex / Volatility 75 Index Traders.,0.00,https://www.eventbrite.ch/e/forex-volatility-75-index-traders-tickets-410202074447,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F344340019%2F311613982936%2F1%2Foriginal.20220830-011403?w=512&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C0%2C680%2C340&s=2daa2aeb4cde56819a761305a9b57508,Golden Tulip Westlands Nairobi,Nairobi,Nairobi County,65 Muthithi Road,,-1.2698415,36.8110271,Education and Investment in Financial markets.
2022-09-06,2022-09-06,SUNSET YOGA,0.00,https://www.eventbrite.com/e/sunset-yoga-tickets-411559574767,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F345820959%2F1121748937953%2F1%2Foriginal.20220831-205140?w=512&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C37%2C1920%2C960&s=d4acd336647f746d513edb10840cda7f,KICC Helipad,Nairobi,Nairobi County,Harambee Avenue,,-1.2887216,36.82281739999999,"Come for a 1hour yoga class connect,network,exercise, enjoy the spectacular view of Nairobi city,blue sky and sunset 105m high at the KICC"
2022-09-07,2022-09-07,Intellectual Property for Creatives,0.00,https://www.eventbrite.com/e/intellectual-property-for-creatives-tickets-410307700377,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F346890019%2F1070040998453%2F1%2Foriginal.20220902-101121?w=512&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C0%2C2160%2C1080&s=809854997840dbda17cbd1128c5c6a78,Tetu Apartments,Nairobi,Nairobi County,State House Avenue,,-1.2871739,36.8057725,Building artist Capacity
2022-09-17,2022-09-17,Women in Hospitality Procurement,0.00,https://www.eventbrite.com/e/women-in-hospitality-procurement-tickets-405123464187,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F341090199%2F1093007194303%2F1%2Foriginal.20220824-074000?w=512&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C0%2C2160%2C1080&s=d03c4d9ba27ea53f437a4bf978d3fb17,Jenga Leo - Coworking,Nairobi,Nairobi County,Mpesi Lane,,-1.2644722,36.80711629999999,Join TopUp Mama for a morning of networking with fellow female peers in the hospitality industry.
2022-11-09,2022-11-11,The Big 5 Construct Kenya,0.00,https://www.eventbrite.com/e/the-big-5-construct-kenya-tickets-360383365347,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F299297649%2F1002041037563%2F1%2Foriginal.20220608-104732?w=512&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C30%2C760%2C380&s=ca9f960f45b96b5fb2ff4abeafe48ecd,The Sarit Expo Centre,Nairobi,Nairobi County,Pio Gama Pinto Road,00800,-1.2606597,36.80151849999999,Bringing the entire construction value chain together to accelerate business in Kenya
2022-09-07,2022-09-07,Dance at Chicfit,0.00,https://www.eventbrite.com/e/dance-at-chicfit-tickets-405852875877,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F339227449%2F552530458417%2F1%2Foriginal.20220821-143049?w=400&auto=format%2Ccompress&q=75&sharp=10&s=66c24cbc6979d5eec242e2364c7ec9be,HH Towers 11th Floor,Nairobi,Nairobi County,Kenyatta Avenue,00100,-1.2833955,36.8234749,Dance Fitness Class that allows you to release the tension in your body and just relax.  Great cardio for your workout routine.
2022-09-24,2022-09-24,Sugar Brown Burlesque presents: Burlesque bad & Bougie Comedy Tour,0.00,https://www.eventbrite.com/e/sugar-brown-burlesque-presents-burlesque-bad-bougie-comedy-tour-tickets-394503900787,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F342228259%2F1976632244%2F1%2Foriginal.20220825-183951?w=300&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C0%2C300%2C150&s=14df1125dfd564e573fe2d9dc0399ca1,Sarakasi Dome,Nairobi,Nairobi County,Ngara Road,,-1.2767673,36.82695619999999,Burlesque & comedy
